ACETYLCHOLINESTERASE,Breaks down acetylcholine
SUBSTANTIANIGRAGLIOSIS,gliosis involving substantianigra
SUBSTANTIANIGRADEMYELINATION,demyelination involving substantianigra
SUBSTANTIANIGRAMALFORMATION,malformation involving substantianigra
SUBSTANTIANIGRADYSFUNCTION,dysfunction involving substantianigra
SUBSTANTIANIGRASCARRING,scarring involving substantianigra
SUBSTANTIANIGRADEGENERATION,degeneration involving substantianigra
SUBSTANTIANIGRACALCIFICATION,calcification involving substantianigra
REDNUCLEUSATROPHY,atrophy involving rednucleus
REDNUCLEUSLESION,lesion involving rednucleus
REDNUCLEUSINFARCT,infarct involving rednucleus
REDNUCLEUSHEMORRHAGE,hemorrhage involving rednucleus
REDNUCLEUSEDEMA,edema involving rednucleus
REDNUCLEUSGLIOSIS,gliosis involving rednucleus
REDNUCLEUSDEMYELINATION,demyelination involving rednucleus
REDNUCLEUSMALFORMATION,malformation involving rednucleus
REDNUCLEUSDYSFUNCTION,dysfunction involving rednucleus
REDNUCLEUSSCARRING,scarring involving rednucleus
REDNUCLEUSDEGENERATION,degeneration involving rednucleus
REDNUCLEUSCALCIFICATION,calcification involving rednucleus
PAGATROPHY,atrophy involving pag
PAGLESION,lesion involving pag
PAGINFARCT,infarct involving pag
PAGHEMORRHAGE,hemorrhage involving pag
PAGEDEMA,edema involving pag
PAGGLIOSIS,gliosis involving pag
PAGDEMYELINATION,demyelination involving pag
PAGMALFORMATION,malformation involving pag
PAGDYSFUNCTION,dysfunction involving pag
PAGSCARRING,scarring involving pag
PAGDEGENERATION,degeneration involving pag
PAGCALCIFICATION,calcification involving pag
MIDBRAINATROPHY,atrophy involving midbrain
MIDBRAINLESION,lesion involving midbrain
MIDBRAININFARCT,infarct involving midbrain
MIDBRAINHEMORRHAGE,hemorrhage involving midbrain
MIDBRAINEDEMA,edema involving midbrain
MIDBRAINGLIOSIS,gliosis involving midbrain
MIDBRAINDEMYELINATION,demyelination involving midbrain
MIDBRAINMALFORMATION,malformation involving midbrain
MIDBRAINDYSFUNCTION,dysfunction involving midbrain
MIDBRAINSCARRING,scarring involving midbrain
MIDBRAINDEGENERATION,degeneration involving midbrain
MIDBRAINCALCIFICATION,calcification involving midbrain
PONSATROPHY,atrophy involving pons
PONSLESION,lesion involving pons
PONSINFARCT,infarct involving pons
PONSHEMORRHAGE,hemorrhage involving pons
PONSEDEMA,edema involving pons
PONSGLIOSIS,gliosis involving pons
PONSDEMYELINATION,demyelination involving pons
PONSMALFORMATION,malformation involving pons
PONSDYSFUNCTION,dysfunction involving pons
PONSSCARRING,scarring involving pons
PONSDEGENERATION,degeneration involving pons
PONSCALCIFICATION,calcification involving pons
MEDULLAATROPHY,atrophy involving medulla
MEDULLALESION,lesion involving medulla
MEDULLAINFARCT,infarct involving medulla
MEDULLAHEMORRHAGE,hemorrhage involving medulla
MEDULLAEDEMA,edema involving medulla
MEDULLAGLIOSIS,gliosis involving medulla
MEDULLADEMYELINATION,demyelination involving medulla
MEDULLAMALFORMATION,malformation involving medulla
MEDULLADYSFUNCTION,dysfunction involving medulla
MEDULLASCARRING,scarring involving medulla
MEDULLADEGENERATION,degeneration involving medulla
MEDULLACALCIFICATION,calcification involving medulla
CEREBELLUMATROPHY,atrophy involving cerebellum
CEREBELLUMLESION,lesion involving cerebellum
CEREBELLUMINFARCT,infarct involving cerebellum
CEREBELLUMHEMORRHAGE,hemorrhage involving cerebellum
CEREBELLUMEDEMA,edema involving cerebellum
CEREBELLUMGLIOSIS,gliosis involving cerebellum
CEREBELLUMDEMYELINATION,demyelination involving cerebellum
CEREBELLUMMALFORMATION,malformation involving cerebellum
CEREBELLUMDYSFUNCTION,dysfunction involving cerebellum
CEREBELLUMSCARRING,scarring involving cerebellum
CEREBELLUMDEGENERATION,degeneration involving cerebellum
CEREBELLUMCALCIFICATION,calcification involving cerebellum
INSULACORTEXATROPHY,atrophy involving insulacortex
INSULACORTEXLESION,lesion involving insulacortex
INSULACORTEXINFARCT,infarct involving insulacortex
INSULACORTEXHEMORRHAGE,hemorrhage involving insulacortex
INSULACORTEXEDEMA,edema involving insulacortex
INSULACORTEXGLIOSIS,gliosis involving insulacortex
INSULACORTEXDEMYELINATION,demyelination involving insulacortex
INSULACORTEXMALFORMATION,malformation involving insulacortex
INSULACORTEXDYSFUNCTION,dysfunction involving insulacortex
INSULACORTEXSCARRING,scarring involving insulacortex
INSULACORTEXDEGENERATION,degeneration involving insulacortex
INSULACORTEXCALCIFICATION,calcification involving insulacortex
PRECENTRALGYRUSATROPHY,atrophy involving precentralgyrus
PRECENTRALGYRUSLESION,lesion involving precentralgyrus
PRECENTRALGYRUSINFARCT,infarct involving precentralgyrus
PRECENTRALGYRUSHEMORRHAGE,hemorrhage involving precentralgyrus
PRECENTRALGYRUSEDEMA,edema involving precentralgyrus
PRECENTRALGYRUSGLIOSIS,gliosis involving precentralgyrus
PRECENTRALGYRUSDEMYELINATION,demyelination involving precentralgyrus
PRECENTRALGYRUSMALFORMATION,malformation involving precentralgyrus
PRECENTRALGYRUSDYSFUNCTION,dysfunction involving precentralgyrus
PRECENTRALGYRUSSCARRING,scarring involving precentralgyrus
PRECENTRALGYRUSDEGENERATION,degeneration involving precentralgyrus
PRECENTRALGYRUSCALCIFICATION,calcification involving precentralgyrus
POSTCENTRALGYRUSATROPHY,atrophy involving postcentralgyrus
POSTCENTRALGYRUSLESION,lesion involving postcentralgyrus
POSTCENTRALGYRUSINFARCT,infarct involving postcentralgyrus
POSTCENTRALGYRUSHEMORRHAGE,hemorrhage involving postcentralgyrus
POSTCENTRALGYRUSEDEMA,edema involving postcentralgyrus
POSTCENTRALGYRUSGLIOSIS,gliosis involving postcentralgyrus
POSTCENTRALGYRUSDEMYELINATION,demyelination involving postcentralgyrus
POSTCENTRALGYRUSMALFORMATION,malformation involving postcentralgyrus
POSTCENTRALGYRUSDYSFUNCTION,dysfunction involving postcentralgyrus
POSTCENTRALGYRUSSCARRING,scarring involving postcentralgyrus
POSTCENTRALGYRUSDEGENERATION,degeneration involving postcentralgyrus
POSTCENTRALGYRUSCALCIFICATION,calcification involving postcentralgyrus
ANGULARGYRUSATROPHY,atrophy involving angulargyrus
ANGULARGYRUSLESION,lesion involving angulargyrus
ANGULARGYRUSINFARCT,infarct involving angulargyrus
ANGULARGYRUSHEMORRHAGE,hemorrhage involving angulargyrus
ANGULARGYRUSEDEMA,edema involving angulargyrus
ANGULARGYRUSGLIOSIS,gliosis involving angulargyrus
ANGULARGYRUSDEMYELINATION,demyelination involving angulargyrus
ANGULARGYRUSMALFORMATION,malformation involving angulargyrus
ANGULARGYRUSDYSFUNCTION,dysfunction involving angulargyrus
ANGULARGYRUSSCARRING,scarring involving angulargyrus
ANGULARGYRUSDEGENERATION,degeneration involving angulargyrus
ANGULARGYRUSCALCIFICATION,calcification involving angulargyrus
SUPRAMARGINALGYRUSATROPHY,atrophy involving supramarginalgyrus
SUPRAMARGINALGYRUSLESION,lesion involving supramarginalgyrus
SUPRAMARGINALGYRUSINFARCT,infarct involving supramarginalgyrus
SUPRAMARGINALGYRUSHEMORRHAGE,hemorrhage involving supramarginalgyrus
SUPRAMARGINALGYRUSEDEMA,edema involving supramarginalgyrus
SUPRAMARGINALGYRUSGLIOSIS,gliosis involving supramarginalgyrus
SUPRAMARGINALGYRUSDEMYELINATION,demyelination involving supramarginalgyrus
SUPRAMARGINALGYRUSMALFORMATION,malformation involving supramarginalgyrus
SUPRAMARGINALGYRUSDYSFUNCTION,dysfunction involving supramarginalgyrus
SUPRAMARGINALGYRUSSCARRING,scarring involving supramarginalgyrus
SUPRAMARGINALGYRUSDEGENERATION,degeneration involving supramarginalgyrus
SUPRAMARGINALGYRUSCALCIFICATION,calcification involving supramarginalgyrus
LINGUALGYRUSATROPHY,atrophy involving lingualgyrus
LINGUALGYRUSLESION,lesion involving lingualgyrus
LINGUALGYRUSINFARCT,infarct involving lingualgyrus
LINGUALGYRUSHEMORRHAGE,hemorrhage involving lingualgyrus
LINGUALGYRUSEDEMA,edema involving lingualgyrus
LINGUALGYRUSGLIOSIS,gliosis involving lingualgyrus
LINGUALGYRUSDEMYELINATION,demyelination involving lingualgyrus
LINGUALGYRUSMALFORMATION,malformation involving lingualgyrus
LINGUALGYRUSDYSFUNCTION,dysfunction involving lingualgyrus
LINGUALGYRUSSCARRING,scarring involving lingualgyrus
LINGUALGYRUSDEGENERATION,degeneration involving lingualgyrus
LINGUALGYRUSCALCIFICATION,calcification involving lingualgyrus
FUSIFORMGYRUSATROPHY,atrophy involving fusiformgyrus
FUSIFORMGYRUSLESION,lesion involving fusiformgyrus
FUSIFORMGYRUSINFARCT,infarct involving fusiformgyrus
FUSIFORMGYRUSHEMORRHAGE,hemorrhage involving fusiformgyrus
FUSIFORMGYRUSEDEMA,edema involving fusiformgyrus
FUSIFORMGYRUSGLIOSIS,gliosis involving fusiformgyrus
FUSIFORMGYRUSDEMYELINATION,demyelination involving fusiformgyrus
FUSIFORMGYRUSMALFORMATION,malformation involving fusiformgyrus
FUSIFORMGYRUSDYSFUNCTION,dysfunction involving fusiformgyrus
FUSIFORMGYRUSSCARRING,scarring involving fusiformgyrus
FUSIFORMGYRUSDEGENERATION,degeneration involving fusiformgyrus
FUSIFORMGYRUSCALCIFICATION,calcification involving fusiformgyrus
CUNEUSATROPHY,atrophy involving cuneus
CUNEUSLESION,lesion involving cuneus
CUNEUSINFARCT,infarct involving cuneus
CUNEUSHEMORRHAGE,hemorrhage involving cuneus
CUNEUSEDEMA,edema involving cuneus
CUNEUSGLIOSIS,gliosis involving cuneus
CUNEUSDEMYELINATION,demyelination involving cuneus
CUNEUSMALFORMATION,malformation involving cuneus
CUNEUSDYSFUNCTION,dysfunction involving cuneus
CUNEUSSCARRING,scarring involving cuneus
CUNEUSDEGENERATION,degeneration involving cuneus
CUNEUSCALCIFICATION,calcification involving cuneus
PRECUNEUSATROPHY,atrophy involving precuneus
PRECUNEUSLESION,lesion involving precuneus
PRECUNEUSINFARCT,infarct involving precuneus
PRECUNEUSHEMORRHAGE,hemorrhage involving precuneus
PRECUNEUSEDEMA,edema involving precuneus
PRECUNEUSGLIOSIS,gliosis involving precuneus
PRECUNEUSDEMYELINATION,demyelination involving precuneus
PRECUNEUSMALFORMATION,malformation involving precuneus
PRECUNEUSDYSFUNCTION,dysfunction involving precuneus
PRECUNEUSSCARRING,scarring involving precuneus
PRECUNEUSDEGENERATION,degeneration involving precuneus
PRECUNEUSCALCIFICATION,calcification involving precuneus
NEUROTRANSMITTER,Chemical messenger in synapse
NEUROMODULATOR,Alters synaptic efficacy
SYNAPTICPLASTICITY,Change in synaptic strength
HOMEOSTASIS,Stable internal state maintenance
NEUROINFLAMMATION,Immune activation in nervous system
MICROGLIOSIS,Activated microglia proliferation
ASTROCYTOSIS,Reactive astrocyte change
GLUTAMATEXCITOTOXICITY,Calcium mediated neuronal injury
CALCIUMSPARK,Local intracellular calcium rise
SYNAPTICTAGGING,Marks synapses for consolidation
LTPINDUCTION,Onset of long term potentiation
LTDINDUCTION,Onset of long term depression
NEURALOSCILLATION,Rhythmic brain activity
GAMMABAND,High frequency cortical rhythm
BETABAND,Fast sensorimotor rhythm
THETABAND,Drowsy or memory rhythm
DELTAWAVES,Slow sleep rhythm
ALPHAWAVES,Posterior dominant rhythm
MURHYTHM,Central arch shaped rhythm
KCOMPLEXES,N2 sleep waveform
SLEEPSPINDLES,12 to 15 Hz bursts in N2
HYPERSYNCHRONY,Highly coherent EEG activity
EPILEPTIFORMDISCHARGE,Spike or sharp wave pattern
INTERICTALSPIKE,Between seizures transient
ICTALONSET,Beginning of seizure activity
POSTICTALSTATE,Period after a seizure
